Datetimes,"Streamflow, ft&#179;/s"
2010-01-01T12:00:00.000-05:00,21900
2010-01-02T12:00:00.000-05:00,19000
2010-01-03T12:00:00.000-05:00,14000
2010-01-04T12:00:00.000-05:00,9330
2010-01-05T12:00:00.000-05:00,9810
2010-01-06T12:00:00.000-05:00,10100
2010-01-07T12:00:00.000-05:00,8680
2010-01-08T12:00:00.000-05:00,10100
2010-01-09T12:00:00.000-05:00,6550
2010-01-10T12:00:00.000-05:00,6470
2010-01-11T12:00:00.000-05:00,5430
2010-01-12T12:00:00.000-05:00,6710
2010-01-13T12:00:00.000-05:00,5570
2010-01-14T12:00:00.000-05:00,6550
2010-01-15T12:00:00.000-05:00,6710
2010-01-16T12:00:00.000-05:00,6790
2010-01-17T12:00:00.000-05:00,6950
2010-01-18T12:00:00.000-05:00,10300
2010-01-19T12:00:00.000-05:00,20300
2010-01-20T12:00:00.000-05:00,35500
2010-01-21T12:00:00.000-05:00,30400
2010-01-22T12:00:00.000-05:00,26200
2010-01-23T12:00:00.000-05:00,24100
2010-01-24T12:00:00.000-05:00,22800
2010-01-25T12:00:00.000-05:00,24200
2010-01-26T12:00:00.000-05:00,103000
2010-01-27T12:00:00.000-05:00,151000
2010-01-28T12:00:00.000-05:00,78700
2010-01-29T12:00:00.000-05:00,51400
2010-01-30T12:00:00.000-05:00,38100
2010-01-31T12:00:00.000-05:00,28100
2010-02-01T12:00:00.000-05:00,22700
2010-02-02T12:00:00.000-05:00,20400
2010-02-03T12:00:00.000-05:00,19100
2010-02-04T12:00:00.000-05:00,17900
2010-02-05T12:00:00.000-05:00,16300
2010-02-06T12:00:00.000-05:00,15800
2010-02-07T12:00:00.000-05:00,13100
2010-02-08T12:00:00.000-05:00,11600
2010-02-09T12:00:00.000-05:00,12300
2010-02-10T12:00:00.000-05:00,13100
2010-02-11T12:00:00.000-05:00,9240
2010-02-12T12:00:00.000-05:00,11700
2010-02-13T12:00:00.000-05:00,11400
2010-02-14T12:00:00.000-05:00,11300
2010-02-15T12:00:00.000-05:00,11000
2010-02-16T12:00:00.000-05:00,10700
2010-02-17T12:00:00.000-05:00,10300
2010-02-18T12:00:00.000-05:00,10100
2010-02-19T12:00:00.000-05:00,10700
2010-02-20T12:00:00.000-05:00,11200
2010-02-21T12:00:00.000-05:00,11900
2010-02-22T12:00:00.000-05:00,12800
2010-02-23T12:00:00.000-05:00,14300
2010-02-24T12:00:00.000-05:00,18500
2010-02-25T12:00:00.000-05:00,23200
2010-02-26T12:00:00.000-05:00,27400
2010-02-27T12:00:00.000-05:00,27100
2010-02-28T12:00:00.000-05:00,23800
2010-03-01T12:00:00.000-05:00,21600
2010-03-02T12:00:00.000-05:00,22500
2010-03-03T12:00:00.000-05:00,22900
2010-03-04T12:00:00.000-05:00,24300
2010-03-05T12:00:00.000-05:00,24600
2010-03-06T12:00:00.000-05:00,23900
2010-03-07T12:00:00.000-05:00,23600
2010-03-08T12:00:00.000-05:00,23100
2010-03-09T12:00:00.000-05:00,22900
2010-03-10T12:00:00.000-05:00,24300
2010-03-11T12:00:00.000-05:00,26500
2010-03-12T12:00:00.000-05:00,32100
2010-03-13T12:00:00.000-05:00,79700
2010-03-14T12:00:00.000-04:00,169000
2010-03-15T12:00:00.000-04:00,199000
2010-03-16T12:00:00.000-04:00,132000
2010-03-17T12:00:00.000-04:00,76100
2010-03-18T12:00:00.000-04:00,56600
2010-03-19T12:00:00.000-04:00,46400
2010-03-20T12:00:00.000-04:00,37900
2010-03-21T12:00:00.000-04:00,31700
2010-03-22T12:00:00.000-04:00,28100
2010-03-23T12:00:00.000-04:00,26800
2010-03-24T12:00:00.000-04:00,24500
2010-03-25T12:00:00.000-04:00,26300
2010-03-26T12:00:00.000-04:00,23900
2010-03-27T12:00:00.000-04:00,20900
2010-03-28T12:00:00.000-04:00,19600
2010-03-29T12:00:00.000-04:00,25000
2010-03-30T12:00:00.000-04:00,58900
2010-03-31T12:00:00.000-04:00,58900
2010-04-01T12:00:00.000-04:00,42000
2010-04-02T12:00:00.000-04:00,32300
2010-04-03T12:00:00.000-04:00,26200
2010-04-04T12:00:00.000-04:00,22700
2010-04-05T12:00:00.000-04:00,19800
2010-04-06T12:00:00.000-04:00,17600
2010-04-07T12:00:00.000-04:00,16100
2010-04-08T12:00:00.000-04:00,14600
2010-04-09T12:00:00.000-04:00,14000
2010-04-10T12:00:00.000-04:00,13400
2010-04-11T12:00:00.000-04:00,12300
2010-04-12T12:00:00.000-04:00,11600
2010-04-13T12:00:00.000-04:00,10900
2010-04-14T12:00:00.000-04:00,10400
2010-04-15T12:00:00.000-04:00,9720
2010-04-16T12:00:00.000-04:00,9330
2010-04-17T12:00:00.000-04:00,8960
2010-04-18T12:00:00.000-04:00,9150
2010-04-19T12:00:00.000-04:00,8320
2010-04-20T12:00:00.000-04:00,8060
2010-04-21T12:00:00.000-04:00,7970
2010-04-22T12:00:00.000-04:00,7790
2010-04-23T12:00:00.000-04:00,7620
2010-04-24T12:00:00.000-04:00,7120
2010-04-25T12:00:00.000-04:00,7120
2010-04-26T12:00:00.000-04:00,8230
2010-04-27T12:00:00.000-04:00,10700
2010-04-28T12:00:00.000-04:00,11900
2010-04-29T12:00:00.000-04:00,11800
2010-04-30T12:00:00.000-04:00,9720
2010-05-01T12:00:00.000-04:00,8410
2010-05-02T12:00:00.000-04:00,7790
2010-05-03T12:00:00.000-04:00,7790
2010-05-04T12:00:00.000-04:00,7710
2010-05-05T12:00:00.000-04:00,12900
2010-05-06T12:00:00.000-04:00,12500
2010-05-07T12:00:00.000-04:00,10000
2010-05-08T12:00:00.000-04:00,8870
2010-05-09T12:00:00.000-04:00,7620
2010-05-10T12:00:00.000-04:00,6710
2010-05-11T12:00:00.000-04:00,6230
2010-05-12T12:00:00.000-04:00,6150
2010-05-13T12:00:00.000-04:00,6790
2010-05-14T12:00:00.000-04:00,6550
2010-05-15T12:00:00.000-04:00,7030
2010-05-16T12:00:00.000-04:00,6630
2010-05-17T12:00:00.000-04:00,6230
2010-05-18T12:00:00.000-04:00,6550
2010-05-19T12:00:00.000-04:00,6310
2010-05-20T12:00:00.000-04:00,7970
2010-05-21T12:00:00.000-04:00,10400
2010-05-22T12:00:00.000-04:00,10400
2010-05-23T12:00:00.000-04:00,15500
2010-05-24T12:00:00.000-04:00,18600
2010-05-25T12:00:00.000-04:00,26000
2010-05-26T12:00:00.000-04:00,16100
2010-05-27T12:00:00.000-04:00,12800
2010-05-28T12:00:00.000-04:00,12000
2010-05-29T12:00:00.000-04:00,10600
2010-05-30T12:00:00.000-04:00,9150
2010-05-31T12:00:00.000-04:00,9240
2010-06-01T12:00:00.000-04:00,10200
2010-06-02T12:00:00.000-04:00,9330
2010-06-03T12:00:00.000-04:00,7710
2010-06-04T12:00:00.000-04:00,7200
2010-06-05T12:00:00.000-04:00,6950
2010-06-06T12:00:00.000-04:00,6230
2010-06-07T12:00:00.000-04:00,5930
2010-06-08T12:00:00.000-04:00,6870
2010-06-09T12:00:00.000-04:00,6150
2010-06-10T12:00:00.000-04:00,7120
2010-06-11T12:00:00.000-04:00,6950
2010-06-12T12:00:00.000-04:00,5850
2010-06-13T12:00:00.000-04:00,5290
2010-06-14T12:00:00.000-04:00,5080
2010-06-15T12:00:00.000-04:00,4750
2010-06-16T12:00:00.000-04:00,4420
2010-06-17T12:00:00.000-04:00,4420
2010-06-18T12:00:00.000-04:00,4050
2010-06-19T12:00:00.000-04:00,3800
2010-06-20T12:00:00.000-04:00,3450
2010-06-21T12:00:00.000-04:00,3340
2010-06-22T12:00:00.000-04:00,3120
2010-06-23T12:00:00.000-04:00,2800
2010-06-24T12:00:00.000-04:00,2700
2010-06-25T12:00:00.000-04:00,2350
2010-06-26T12:00:00.000-04:00,2400
2010-06-27T12:00:00.000-04:00,2160
2010-06-28T12:00:00.000-04:00,2210
2010-06-29T12:00:00.000-04:00,2800
2010-06-30T12:00:00.000-04:00,2120
2010-07-01T12:00:00.000-04:00,1980
2010-07-02T12:00:00.000-04:00,1810
2010-07-03T12:00:00.000-04:00,1850
2010-07-04T12:00:00.000-04:00,1850
2010-07-05T12:00:00.000-04:00,1600
2010-07-06T12:00:00.000-04:00,1520
2010-07-07T12:00:00.000-04:00,1520
2010-07-08T12:00:00.000-04:00,1260
2010-07-09T12:00:00.000-04:00,1260
2010-07-10T12:00:00.000-04:00,1890
2010-07-11T12:00:00.000-04:00,1940
2010-07-12T12:00:00.000-04:00,1720
2010-07-13T12:00:00.000-04:00,2650
2010-07-14T12:00:00.000-04:00,3680
2010-07-15T12:00:00.000-04:00,2800
2010-07-16T12:00:00.000-04:00,2400
2010-07-17T12:00:00.000-04:00,3010
2010-07-18T12:00:00.000-04:00,3230
2010-07-19T12:00:00.000-04:00,3280
2010-07-20T12:00:00.000-04:00,2600
2010-07-21T12:00:00.000-04:00,2120
2010-07-22T12:00:00.000-04:00,1560
2010-07-23T12:00:00.000-04:00,1480
2010-07-24T12:00:00.000-04:00,1260
2010-07-25T12:00:00.000-04:00,1370
2010-07-26T12:00:00.000-04:00,1770
2010-07-27T12:00:00.000-04:00,1410
2010-07-28T12:00:00.000-04:00,1300
2010-07-29T12:00:00.000-04:00,1300
2010-07-30T12:00:00.000-04:00,1720
2010-07-31T12:00:00.000-04:00,1370
2010-08-01T12:00:00.000-04:00,1150
2010-08-02T12:00:00.000-04:00,1150
2010-08-03T12:00:00.000-04:00,1120
2010-08-04T12:00:00.000-04:00,1120
2010-08-05T12:00:00.000-04:00,1260
2010-08-06T12:00:00.000-04:00,1720
2010-08-07T12:00:00.000-04:00,1410
2010-08-08T12:00:00.000-04:00,1410
2010-08-09T12:00:00.000-04:00,1330
2010-08-10T12:00:00.000-04:00,1050
2010-08-11T12:00:00.000-04:00,1150
2010-08-12T12:00:00.000-04:00,2260
2010-08-13T12:00:00.000-04:00,2450
2010-08-14T12:00:00.000-04:00,4110
2010-08-15T12:00:00.000-04:00,2960
2010-08-16T12:00:00.000-04:00,2450
2010-08-17T12:00:00.000-04:00,1600
2010-08-18T12:00:00.000-04:00,7620
2010-08-19T12:00:00.000-04:00,3170
2010-08-20T12:00:00.000-04:00,2160
2010-08-21T12:00:00.000-04:00,1720
2010-08-22T12:00:00.000-04:00,1480
2010-08-23T12:00:00.000-04:00,1370
2010-08-24T12:00:00.000-04:00,1220
2010-08-25T12:00:00.000-04:00,1330
2010-08-26T12:00:00.000-04:00,1050
2010-08-27T12:00:00.000-04:00,1120
2010-08-28T12:00:00.000-04:00,1020
2010-08-29T12:00:00.000-04:00,1260
2010-08-30T12:00:00.000-04:00,1050
2010-08-31T12:00:00.000-04:00,1260
2010-09-01T12:00:00.000-04:00,1190
2010-09-02T12:00:00.000-04:00,987
2010-09-03T12:00:00.000-04:00,1020
2010-09-04T12:00:00.000-04:00,1220
2010-09-05T12:00:00.000-04:00,987
2010-09-06T12:00:00.000-04:00,810
2010-09-07T12:00:00.000-04:00,548
2010-09-08T12:00:00.000-04:00,570
2010-09-09T12:00:00.000-04:00,333
2010-09-10T12:00:00.000-04:00,431
2010-09-11T12:00:00.000-04:00,526
2010-09-12T12:00:00.000-04:00,615
2010-09-13T12:00:00.000-04:00,892
2010-09-14T12:00:00.000-04:00,662
2010-09-15T12:00:00.000-04:00,593
2010-09-16T12:00:00.000-04:00,548
